Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,07/28/20,07/29/20,07/30/20,07/31/20,08/01/20,08/02/20,08/03/20,08/04/20,08/05/20,08/06/20,08/07/20,08/08/20,08/09/20,08/10/20,08/11/20,08/12/20,08/13/20,08/14/20,08/15/20,08/16/20,08/17/20,08/18/20,08/19/20,08/20/20,08/21/20,08/22/20,08/23/20,08/24/20
,India,20.593684,78.96288,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,28,30,31,34,39,43,56,62,73,82,102,113,119,142,156,194,244,330,396,499,536,657,727,887,987,1024,1251,1397,1998,2543,2567,3082,3588,4778,5311,5916,6725,7598,8446,9205,10453,11487,12322,13430,14352,15722,17615,18539,20080,21370,23077,24530,26283,27890,29451,31324,33062,34863,37257,39699,42505,46437,49400,52987,56351,59695,62808,67161,70768,74292,78055,81997,85784,90648,95698,100328,106475,112028,118226,124794,131423,138536,144950,150793,158086,165386,173491,181827,190609,198370,207191,216824,226713,236184,246622,257486,265928,276146,286605,297535,308993,320922,332424,343091,354065,366946,380532,395048,410451,425282,440215,456183,473105,490401,508953,528859,548318,566840,585481,604641,625544,648315,673165,697413,719664,742417,767296,793802,820916,849522,878254,906752,936181,968857,1003832,1039084,1077781,1118206,1155338,1193078,1238798,1288108,1337024,1385635,1435616,1480073,1527133,1581444,1637687,1695930,1756244,1818703,1883384,1950365,2019728,2091558,2165942,2242972,2322742,2405348,2490892,2579478,2671215,2766215,2864593,2966470,3071969,3181221,3294359,3411520,3532848,3658490,3788601,3923340
,Asia,,,554,653,937,1429,2105,2912,5558,6139,8204,9885,11987,16733,19822,23831,27574,30732,34259,36982,40006,42543,44581,44958,60109,66591,68665,70778,72712,74506,74924,75466,76059,77764,77972,78436,79113,79835,80801,81723,82990,84181,85012,86018,86650,87320,88087,88690,89110,89397,89588,90026,90245,90594,91013,91587,92095,92706,93397,94147,95066,95994,97120,98084,99091,100255,101578,102913,104543,106153,107701,109694,112049,114434,116329,118481,121180,124310,126604,129250,132408,135382,138786,142141,146086,150219,154086,158363,163066,168278,172793,178261,183669,189044,195017,200766,205928,211290,216510,222333,228461,235066,242361,248856,256030,264684,273599,281743,290518,299793,308476,318927,328665,337788,346746,358389,367181,377843,389875,402053,414998,428779,444014,458881,474331,489370,503803,516566,532517,549817,568957,587804,608085,627189,648549,671899,694238,716668,740722,765063,786191,810549,836649,863829,885360,913195,946608,971754,998936,1027721,1056889,1088319,1119550,1149446,1178264,1209112,1240884,1272479,1306004,1340500,1375618,1408393,1442495,1496644,1534439,1571583,1612644,1656762,1694432,1732052,1773334,1819273,1862604,1906744,1950397,1994460,2038180,2087305,2136019,2189190,2252892,2311782,2361631,2415395,2474927,2543513,2606985,2670914,2734161,2792641,2852667,2921069,2991111,3062832,3136273,3211476,3288481,3367332,3448075,3530753,3615414,3702105,3790875,3881773,3974851,4070161,4167755,4267691,4370022,4474807,4582105,4691975,4804480,4919682,5037647,5158441,5282131,5408787
West Bengal,Kolkata,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,6,7,8,8,9,9,9,10,11,17,23,29,35,41,47,53,59,65,71,77,83,89,95,101,107,114,121,128,135,142,149,156,163,170,177,184,184,184,184,184,184,184,635,659,700,754,783,846,911,948,1002,1041,1126,1157,1200,1265,1311,1372,1433,1502,1549,1570,1613,1665,1693,1751,1808,1902,1973,2053,2125,2179,2295,2394,2488,2589,2684,2758,2886,3018,3128,3245,3356,3514,3672,3776,3946,4089,4269,4400,4527,4653,4734,4815,4970,5133,5261,5402,5573,5753,5984,6222,6440,6622,6864,7108,7389,7680,8046,8368,8742,9154,9608,10026,10550,10975,11471,12034,12682,13344,13989,14640,15332,16127,16826,17553,18201,18753,19280,20074,20901,21762,22658,23591,24562,25574,26627,27724,28865,30054,31292,32580,33922,35319,36773,38288,39864,41506,43215,44995,46848,48777,50786,52877,55055,57322
Telangana,Hyderabad,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,13,16,17,19,24,29,31,33,36,50,58,61,68,88,118,145,151,176,202,210,219,222,225,229,234,244,289,329,334,367,417,448,486,498,517,527,540,543,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,546,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545
Tamil Nadu,Chennai,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,5,10,11,13,15,16,18,21,25,26,46,81,88,95,110,149,156,163,172,182,200,209,214,219,222,233,240,290,308,363,378,405,457,500,528,575,678,772,910,1086,1260,1463,1729,2007,2331,2647,3046,3325,3834,4372,4882,5262,5637,5947,6279,6761,7125,7677,8234,8801,9370,9995,10582,11131,11640,12202,12761,13379,13995,14799,15766,16575,17587,18693,19809,20993,22149,23298,24545,25937,27398,28924,30444,31896,33244,34245,35556,37070,38327,39641,41172,42752,44205,45814,47650,49690,51699,53762,55969,58327,60533,62598,64689,66538,68254,70017,71230,72500,73728,74969,76158,77338,78573,79662,80961,82128,83377,84598,85859,87235,88377,89561,90900,92206,93537,94695,95857,96976,98291,99624,100975,102345,103733,105140,106566,108011,109476,110961,112466,113991,115537,117104,118693,120302,121934,123588,125264,126963,128685,130430,132199,133992,135809,137651,139518
Maharashtra,Mumbai,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,5,5,6,7,8,9,11,19,24,35,41,48,49,51,73,78,85,144,174,228,271,370,451,518,642,714,876,1008,1146,1298,1540,1756,1896,2073,2085,2268,2724,2912,2913,3145,3146,3147,3148,5407,5776,6169,6644,7061,7812,8359,8800,9310,9945,10714,11394,12142,12864,13739,14521,14947,15747,16738,17671,18555,20150,21335,22746,24118,25500,27251,28817,30542,31972,32974,34018,35485,36932,38442,39686,41099,42216,43492,44931,46080,47354,48774,50085,51100,52667,54085,55451,56831,58226,59293,60228,61587,62875,64139,65329,66488,67586,68410,69528,70878,72175,74252,75539,76765,77658,79145,80699,82074,83237,84524,85724,86509,87856,89124,90461,91745,92988,94146,95100,96474,97950,99164,100350,101388,102423,103368,104678,105923,106980,108060,109161,110182,111126,112275,113435,114608,115792,116989,118199,119420,120655,121902,123162,124435,125721,127021,128334,129660,131001,132355,133723,135105,136502,137912,139338,140778,142233,143704,145189,146690
,Bangalore,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,5,5,5,6,7,8,11,12,13,14,17,22,23,31,32,36,38,39,40,42,45,46,47,49,51,53,56,57,60,63,65,68,70,73,74,78,88,91,91,91,92,93,103,122,135,135,136,137,137,147,147,151,155,156,159,161,162,169,181,183,184,188,190,195,208,222,222,246,252,256,264,274,278,279,287,289,297,306,319,353,374,398,413,434,443,465,483,511,529,558,600,618,654,685,728,763,810,866,883,1025,1123,1319,1449,1556,1736,1861,2008,2609,3419,4160,4684,5448,6342,7380,8563,9798,10847,11647,12832,14221,15669,17207,18751,20087,21368,23351,25726,27967,30186,32412,34072,35881,38072,40440,42733,44923,47086,48694,50044,52606,55300,58131,61108,64237,67526,70983,74617,78438,82454,86676,91114,95779,100683,105838,111257,116953,122942,129236,135853,142809,150121,157808,165888,174381,183310,192695
,Andaman and Nicobar,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,12,14,15,16,17,18,22,29,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,35,38,38,38,40,41,44,44,45,47,47,48,48,50,56,58,72,72,83,90,97,100,109,116,119,125,141,147,149,156,156,156,163,166,171,176,180,180,184,199,203,208,217,236,255,286,314,334,329,352,378,405,433,464,497,533,571,611,655,702,752,805,863,924,990,1061,1136,1217,1304,1397,1496,1603,1717,1839,1970,2111
,Andhra Pradesh,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,5,6,7,8,10,11,13,19,21,23,44,111,149,164,192,256,303,314,348,363,381,405,420,439,484,525,534,572,603,647,722,757,813,893,955,1016,1097,1177,1259,1332,1403,1463,1525,1583,1650,1717,1777,1833,1887,1930,1980,2018,2089,2137,2205,2307,2355,2380,2432,2489,2560,2605,2667,2714,2780,2886,2983,3117,3245,3330,3461,3571,3676,3791,3971,4112,4250,4460,4659,4813,4882,5247,5429,5636,5858,6152,6456,6720,7071,7496,7961,8452,8929,9372,9834,10331,10884,11489,12285,13098,13891,14595,15252,16097,16934,17699,18697,20019,21197,22259,23814,25422,27235,29168,31103,33019,35451,38044,40646,44609,49650,53724,58668,64713,72711,80858,88671,96298,102349,108773,118696,129524,141339,154233,168303,183656,200410,218693,238643,260413,284169,310092,338380,369249,402933,439691,479801,523571,571333,623453,680327,742390,810114,884016,964660,1052661,1148689
,Arunachal Pradesh,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,4,22,24,34,39,43,45,48,54,54,58,64,83,88,91,95,99,103,103,135,135,139,148,158,160,172,174,177,182,187,191,195,232,252,259,269,270,276,287,302,335,341,360,387,462,491,543,609,650,740,790,858,949,991,1056,1126,1158,1239,1255,1332,1414,1501,1594,1692,1796,1907,2024,2149,2281,2422,2571,2729,2897,3075,3265,3466,3679,3906,4146,4402,4673,4960,5266,5590,5934,6300
,Assam,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,16,23,26,26,26,28,28,29,29,29,30,32,33,33,35,35,35,35,35,35,35,36,36,36,36,36,38,38,43,43,43,43,43,45,46,54,60,62,63,65,65,80,87,90,93,101,116,158,189,211,226,347,393,549,683,784,881,1058,1217,1340,1486,1560,1831,2116,2244,2474,2682,2836,3051,3286,3431,3694,3901,4119,4310,4511,4695,4904,4904,5153,5485,5752,5955,6181,6545,6818,7064,7391,7693,8306,8854,9333,9698,10900,11635,12421,13235,13931,14499,15435,15970,16705,17706,18565,19653,20545,21763,22880,23898,24991,26671,27643,28690,29820,30985,32127,33475,34382,35779,37232,38744,40317,41955,43659,45432,47277,49197,51195,53274,55438,57689,60032,62470,65007,67647,70394,73253,76228,79324,82546,85898,89387,93017,96794,100725
,Bihar,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,7,9,11,15,15,21,24,29,31,32,32,32,38,39,58,60,64,64,66,66,72,83,85,86,96,113,126,143,170,223,251,277,346,366,403,425,466,481,517,528,535,542,550,579,611,707,749,879,953,999,1033,1178,1320,1423,1519,1776,1987,2166,2394,2574,2737,2968,3036,3185,3359,3565,3807,3945,4096,4326,4452,4598,4831,5070,5247,5455,5698,5948,6096,6289,6475,6662,6810,6940,7040,7290,7503,7665,7893,8050,8273,8488,8678,8980,9224,9618,9988,10204,10682,11108,11457,11860,12140,12525,13274,13978,14330,15039,16305,17421,18853,20173,21558,23300,24967,26379,27455,28564,30066,31691,33511,36314,38919,41111,42460,45044,47784,50691,53775,57047,60518,64200,68105,72249,76644,81307,86254,91502,97069,102974,109239,115885,122936,130415,138349,146767,155696,165168,175217,185877,197185,209182
,Chandigarh,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,6,7,7,7,7,8,8,8,13,15,17,18,18,18,18,18,18,18,18,19,19,21,21,21,21,21,21,23,26,26,27,27,27,27,28,36,45,56,68,74,88,94,97,102,119,124,135,146,169,173,181,187,191,191,191,191,191,196,199,202,218,219,225,262,266,278,279,289,289,289,293,297,301,301,302,309,312,314,320,326,328,332,345,350,352,357,365,370,374,381,404,406,411,418,420,423,425,428,431,434,440,446,450,454,459,466,487,492,507,523,536,549,559,588,600,619,635,660,691,717,737,751,780,800,823,852,887,910,930,959,990,1021,1053,1086,1121,1156,1193,1230,1269,1309,1351,1393,1437,1483,1530,1578,1628,1679,1732,1787,1843,1902,1962,2024,2088,2154
,Chhattisgarh,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,6,7,7,8,9,9,9,9,10,10,10,10,10,18,18,25,31,31,33,33,36,36,36,36,36,36,36,36,36,37,37,37,38,38,40,43,43,57,58,59,59,59,59,59,59,59,59,59,60,66,67,85,95,100,114,128,172,214,252,292,360,364,398,415,447,498,547,562,626,773,863,923,1073,1197,1211,1262,1398,1445,1550,1671,1715,1784,1864,1946,2018,2134,2255,2302,2385,2419,2456,2545,2610,2694,2795,2858,2940,3013,3065,3161,3207,3305,3415,3526,3666,3832,3897,4081,4265,4379,4556,4754,5003,5246,5407,5598,5731,5999,6370,6819,7182,7613,7980,8174,8593,9035,9498,9986,10499,11038,11605,12200,12827,13485,14178,14905,15671,16475,17321,18210,19145,20128,21162,22248,23390,24591,25853,27181,28576,30043,31586
,Dadra and NHDD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,11,14,14,19,20,22,24,29,30,30,35,39,39,54,59,63,77,94,99,114,123,136,156,171,186,190,205,215,231,256,306,343,375,402,429,444,458,472,486,502,527,543,560,578,610,655,692,713,741,777,822,866,903,952,988,1025,1073,1124,1177,1233,1291,1352,1415,1482,1552,1625,1702,1782,1866,1954,2046,2143,2244,2349,2460,2576,2698,2825,2958,3097,3243,3396,3556
,Delhi,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,8,10,14,20,27,27,30,30,35,36,40,49,72,97,120,152,293,386,445,503,525,576,669,720,903,1069,1154,1510,1561,1578,1640,1707,1893,2003,2081,2156,2248,2376,2514,2625,2918,3108,3314,3439,3515,3738,4122,4549,4898,5104,5532,5980,6318,6542,6923,7233,7639,7998,8470,8895,9333,9755,10054,10554,11088,11659,12319,12910,13418,14053,14465,15257,16281,17386,18549,19844,20834,22132,23645,25004,26334,27654,28936,29943,31309,32810,34687,36824,38958,41182,42829,44688,47102,49979,53116,56746,59746,62655,66602,70390,73780,77240,80188,83077,85161,87360,89802,92175,94695,97200,99444,100823,102831,104864,107051,109140,110921,112494,113740,115346,116993,118645,120107,121582,122793,123747,125096,126323,127364,128389,129531,130606,131219,131812,132871,133938,135014,136099,137192,138294,139405,140525,141654,142792,143940,145096,146262,147437,148621,149815,151019,152232,153455,154688,155931,157184,158446,159719,161003,162296,163600
,Goa,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,15,15,20,29,38,46,50,52,54,55,66,67,67,68,69,69,70,71,73,79,126,166,196,267,300,330,359,387,417,463,523,564,592,629,656,705,725,754,818,864,909,951,995,1039,1128,1198,1251,1315,1387,1482,1576,1684,1761,1813,1903,2039,2151,2251,2368,2453,2583,2753,2951,3108,3304,3484,3657,3853,4027,4176,4350,4540,4686,4861,5119,5227,5443,5669,5904,6149,6404,6670,6947,7235,7535,7848,8173,8512,8865,9233,9616,10015,10431,10863,11314,11783,12272,12781,13311,13863,14439,15037,15661
,Gujarat,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,14,18,30,34,38,43,47,55,63,70,74,87,88,95,108,128,146,175,186,262,378,468,516,572,650,766,929,1099,1376,1743,1939,2178,2407,2624,2815,3071,3301,3548,3774,4082,4395,4721,5054,5428,5804,6245,6625,7013,7403,7797,8195,8542,8904,9268,9592,9932,10989,11380,11746,12141,12539,12910,13273,13669,14063,14468,14829,15205,15572,15944,16356,16794,17217,17632,18117,18609,19119,19617,20097,20574,21044,21554,22067,22562,23079,23590,24104,24628,25148,25658,26198,26737,27317,27880,28429,29001,29578,30158,30773,31397,32023,32643,33318,33999,34686,35398,36123,36858,37636,38419,39280,40155,41027,41906,42808,43723,44648,45567,46516,47476,48441,49439,50465,51485,52563,53631,54712,55822,56874,57960,59125,60313,61524,62761,64022,65308,66620,67959,69324,70717,72138,73587,75066,76574,78112,79682,81283,82916,84582,86281,88015,89783,91587,93427,95305,97219,99173
,Haryana,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,15,16,17,19,21,21,28,30,31,32,33,35,35,36,43,43,49,58,84,90,110,143,167,170,176,179,195,196,198,204,215,223,232,250,251,255,264,270,275,287,296,301,308,311,339,357,376,442,517,548,594,625,647,675,703,730,780,793,818,854,887,910,928,964,993,1030,1067,1131,1184,1213,1305,1381,1504,1721,1923,2091,2356,2652,2954,3281,3597,3952,4448,4854,5209,5579,5968,6334,6749,7208,7722,8272,8832,9218,9743,10223,10635,11025,11520,12010,12463,12884,13427,13829,14210,14548,14941,15509,16003,16548,17005,17504,17999,18690,19364,19934,20582,21240,21929,22628,23306,24002,24797,25547,26164,26858,27462,28186,28975,29755,30538,31332,32127,32891,33752,34635,35542,36472,37427,38406,39412,40443,41502,42588,43703,44847,46021,47225,48462,49730,51032,52368,53738,55145,56588,58069,59589,61149,62750,64392,66078
,Himachal Pradesh,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,3,3,3,3,3,6,6,13,14,18,27,27,28,28,32,32,32,33,35,35,38,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,41,42,43,46,50,52,58,59,67,68,74,76,78,80,90,92,110,152,168,185,203,223,247,273,281,295,313,331,340,345,359,383,393,400,411,421,437,451,470,486,502,518,556,560,585,595,627,656,673,727,775,806,839,864,894,916,942,953,979,1014,1033,1046,1063,1077,1083,1101,1140,1171,1182,1213,1243,1309,1341,1377,1417,1457,1521,1631,1664,1725,1834,1954,2049,2176,2270,2330,2446,2567,2695,2829,2970,3118,3273,3436,3607,3787,3975,4173,4381,4599,4828,5068,5321,5586,5864,6155,6462,6783,7121,7476,7848,8238,8648
,Jammu and Kashmir,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,4,4,4,4,4,4,6,11,14,20,33,38,49,55,62,70,75,92,106,109,125,158,184,207,224,245,270,278,300,314,328,341,354,368,380,407,434,454,494,523,546,565,581,614,639,666,701,726,741,775,793,823,836,861,879,934,971,983,1013,1121,1183,1289,1317,1390,1449,1489,1569,1621,1668,1759,1921,2036,2164,2341,2446,2601,2718,2857,3142,3324,3467,4087,4285,4346,4507,4574,4730,4878,5041,5220,5298,5406,5555,5680,5834,5956,6088,6236,6422,6549,6762,6966,7093,7237,7497,7695,7849,8019,8246,8429,8675,8931,9261,9501,9888,10156,10513,10827,11173,11666,12156,12757,13198,13899,14650,15258,15711,16429,16782,17305,17920,18390,18728,19341,19975,20629,21305,22003,22724,23468,24237,25031,25851,26698,27573,28476,29409,30373,31368,32395,33457,34553,35685,36854,38061,39308,40596,41926,43299,44718
,Jharkhand,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,4,4,4,13,14,17,19,24,27,28,29,32,33,41,46,46,46,53,59,67,82,103,105,107,110,113,115,115,115,125,127,132,154,156,157,161,172,177,203,211,217,223,228,248,290,303,323,350,370,405,426,433,439,521,594,635,661,722,764,827,922,1028,1103,1290,1416,1551,1599,1656,1711,1763,1793,1839,1896,1919,1961,2024,2098,2140,2193,2219,2263,2294,2339,2364,2426,2490,2525,2585,2697,2739,2807,2854,3018,3134,3268,3518,3663,3760,3963,4225,4562,4783,5096,5385,5552,5777,6195,6682,7164,7564,7841,8349,8803,9138,9651,10193,10765,11369,12007,12680,13392,14144,14937,15776,16661,17596,18583,19626,20728,21891,23119,24417,25787,27234,28762,30376,32081,33881,35783,37791,39911
,Karnataka,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,7,9,14,15,15,20,26,33,41,51,55,64,81,83,88,101,110,124,128,144,151,163,175,181,197,207,215,232,247,260,279,315,359,384,390,408,418,427,445,474,500,503,512,523,535,565,589,601,614,651,673,693,705,753,794,848,862,925,959,987,1056,1092,1147,1246,1395,1462,1605,1743,1959,2089,2182,2283,2418,2533,2781,2922,3221,3408,3796,4063,4320,4835,5213,5452,5760,5921,6041,6245,6516,6824,7000,7213,7530,7734,7944,8281,8697,9150,9399,9721,10118,10560,11005,11923,13190,14295,15242,16514,18016,19710,21549,23474,25317,26815,28877,31105,33418,36216,38843,41581,44077,47253,51422,55115,59652,63772,67420,71069,75833,80863,85870,90942,96141,101465,106475,112861,119630,126805,134410,142471,151016,160073,169674,179850,190636,202070,214189,227035,240652,255085,270384,286600,303789,322009,341321,361792,383491,406491,430870,456712,484103,513138
